comparison,model_id,seed,task,n,ours_accuracy,other_accuracy,delta_accuracy,ci95_low,ci95_high,significant,bootstrap_samples
Ours-Basis Sharing,8b_15,44,piqa,1838,0.8743199129488575,0.7840043525571273,0.09031556039173014,0.07127312295973885,0.10990206746463548,True,10000
Ours-Basis Sharing,8b_15,44,social_i_qa,1954,0.7968270214943706,0.7691914022517912,0.027635619242579325,0.009211873080859774,0.04605936540429888,True,10000
Ours-Basis Sharing,8b_15,44,winogrande,1267,0.8650355169692187,0.7940015785319653,0.07103393843725335,0.04814522494080505,0.09392265193370165,True,10000
Ours-Basis Sharing,8b_15,44,macro,19149,0.864812097867814,0.7725716413461742,0.09224045652163981,0.08340908527018177,0.10098341353642837,True,10000
Ours-Basis Sharing,8b_20,42,ARC-Challenge,1172,0.787542662116041,0.643344709897611,0.14419795221843004,0.11518771331058021,0.17235494880546076,True,10000
Ours-Basis Sharing,8b_20,42,ARC-Easy,2376,0.8943602693602694,0.7798821548821548,0.11447811447811448,0.09722222222222222,0.13131313131313133,True,10000
Ours-Basis Sharing,8b_20,42,hellaswag,10042,0.9454291973710416,0.8680541724756025,0.07737502489543915,0.0710017924716192,0.0838478390758813,True,10000
Ours-Basis Sharing,8b_20,42,openbookqa,500,0.848,0.728,0.12,0.082,0.16,True,10000
Ours-Basis Sharing,8b_20,42,piqa,1838,0.8618063112078346,0.7829162132752993,0.07889009793253536,0.058759521218716,0.09956474428726877,True,10000
Ours-Basis Sharing,8b_20,42,social_i_qa,1954,0.7942681678607983,0.7574206755373593,0.0368474923234391,0.018922722620266133,0.05527123848515865,True,10000
Ours-Basis Sharing,8b_20,42,winogrande,1267,0.8610891870560379,0.7687450670876085,0.09234411996842937,0.06945540647198106,0.11523283346487766,True,10000
Ours-Basis Sharing,8b_20,42,macro,19149,0.856070827853146,0.7611947133079479,0.0948761145451982,0.08597277829542452,0.10379420116462228,True,10000
Ours-Basis Sharing,8b_20,43,ARC-Challenge,1172,0.7858361774744027,0.6331058020477816,0.15273037542662116,0.12286689419795221,0.181740614334471,True,10000
Ours-Basis Sharing,8b_20,43,ARC-Easy,2376,0.8918350168350169,0.7529461279461279,0.1388888888888889,0.12121212121212122,0.15614478114478114,True,10000
Ours-Basis Sharing,8b_20,43,hellaswag,10042,0.9475204142601076,0.8622784305915157,0.08524198366859191,0.07866958773152759,0.09191396136227843,True,10000
Ours-Basis Sharing,8b_20,43,openbookqa,500,0.874,0.724,0.15,0.108,0.192,True,10000
Ours-Basis Sharing,8b_20,43,piqa,1838,0.8715995647442872,0.7769314472252449,0.09466811751904244,0.0750816104461371,0.1147986942328618,True,10000
Ours-Basis Sharing,8b_20,43,social_i_qa,1954,0.8024564994882293,0.7497441146366428,0.05271238485158649,0.03480040941658137,0.07164790174002048,True,10000
