backbone,target,regime,seed,task,accuracy
Llama-3.1-8B,20,CE,44,HellaSwag,0.8723361880103565
Llama-3.1-8B,20,CE,44,OpenBookQA,0.75
Llama-3.1-8B,20,CE+KD,42,PIQA,0.8618063112078346
Llama-3.1-8B,20,CE+KD,42,SocialIQA,0.7942681678607983
Llama-3.1-8B,20,CE+KD,42,WinoGrande,0.8610891870560379
Llama-3.1-8B,20,CE+KD,42,ARC_C,0.787542662116041
Llama-3.1-8B,20,CE+KD,42,ARC_E,0.8943602693602694
Llama-3.1-8B,20,CE+KD,42,HellaSwag,0.9454291973710416
Llama-3.1-8B,20,CE+KD,42,OpenBookQA,0.848
Llama-3.1-8B,20,CE+KD,43,PIQA,0.8715995647442872
Llama-3.1-8B,20,CE+KD,43,SocialIQA,0.8024564994882293
Llama-3.1-8B,20,CE+KD,43,WinoGrande,0.8626677190213102
Llama-3.1-8B,20,CE+KD,43,ARC_C,0.7858361774744027
Llama-3.1-8B,20,CE+KD,43,ARC_E,0.8918350168350169
Llama-3.1-8B,20,CE+KD,43,HellaSwag,0.9475204142601076
Llama-3.1-8B,20,CE+KD,43,OpenBookQA,0.874
Llama-3.1-8B,20,CE+KD,44,PIQA,0.8726877040261154
Llama-3.1-8B,20,CE+KD,44,SocialIQA,0.8009211873080859
Llama-3.1-8B,20,CE+KD,44,WinoGrande,0.8555643251775849
Llama-3.1-8B,20,CE+KD,44,ARC_C,0.7798634812286689
Llama-3.1-8B,20,CE+KD,44,ARC_E,0.8960437710437711
Llama-3.1-8B,20,CE+KD,44,HellaSwag,0.9487153953395738
Llama-3.1-8B,20,CE+KD,44,OpenBookQA,0.868
Llama-3.1-8B,25,Pure,NA,PIQA,0.5059847660500544
Llama-3.1-8B,25,Pure,NA,SocialIQA,0.33623336745138177
Llama-3.1-8B,25,Pure,NA,WinoGrande,0.5067087608524072
Llama-3.1-8B,25,Pure,NA,ARC_C,0.26109215017064846
Llama-3.1-8B,25,Pure,NA,ARC_E,0.26515151515151514
Llama-3.1-8B,25,Pure,NA,HellaSwag,0.24457279426409081
Llama-3.1-8B,25,Pure,NA,OpenBookQA,0.264
Llama-3.1-8B,25,CE,42,PIQA,0.8492927094668118
Llama-3.1-8B,25,CE,42,SocialIQA,0.7983623336745138
Llama-3.1-8B,25,CE,42,WinoGrande,0.835043409629045
Llama-3.1-8B,25,CE,42,ARC_C,0.7858361774744027
Llama-3.1-8B,25,CE,42,ARC_E,0.9002525252525253
Llama-3.1-8B,25,CE,42,HellaSwag,0.9357697669786895
Llama-3.1-8B,25,CE,42,OpenBookQA,0.85
Llama-3.1-8B,25,CE,43,PIQA,0.7894450489662677
Llama-3.1-8B,25,CE,43,SocialIQA,0.6632548618219037
Llama-3.1-8B,25,CE,43,WinoGrande,0.6961325966850829
Llama-3.1-8B,25,CE,43,ARC_C,0.6825938566552902
Llama-3.1-8B,25,CE,43,ARC_E,0.8463804713804713
Llama-3.1-8B,25,CE,43,HellaSwag,0.8393746265684127
Llama-3.1-8B,25,CE,43,OpenBookQA,0.718
Llama-3.1-8B,25,CE,44,PIQA,0.8525571273122959
Llama-3.1-8B,25,CE,44,SocialIQA,0.7876151484135108
Llama-3.1-8B,25,CE,44,WinoGrande,0.8579321231254933
Llama-3.1-8B,25,CE,44,ARC_C,0.7841296928327645
Llama-3.1-8B,25,CE,44,ARC_E,0.8956228956228957
Llama-3.1-8B,25,CE,44,HellaSwag,0.9370643298147779
Llama-3.1-8B,25,CE,44,OpenBookQA,0.846
Llama-3.1-8B,25,CE+KD,42,PIQA,0.8628944504896626
Llama-3.1-8B,25,CE+KD,42,SocialIQA,0.8162743091095189
Llama-3.1-8B,25,CE+KD,42,WinoGrande,0.8674033149171271
Llama-3.1-8B,25,CE+KD,42,ARC_C,0.7670648464163823
Llama-3.1-8B,25,CE+KD,42,ARC_E,0.8956228956228957
Llama-3.1-8B,25,CE+KD,42,HellaSwag,0.9416450906193985
Llama-3.1-8B,25,CE+KD,42,OpenBookQA,0.84
Llama-3.1-8B,25,CE+KD,43,PIQA,0.8726877040261154
Llama-3.1-8B,25,CE+KD,43,SocialIQA,0.8029682702149437
Llama-3.1-8B,25,CE+KD,43,WinoGrande,0.8579321231254933
Llama-3.1-8B,25,CE+KD,43,ARC_C,0.7952218430034129
Llama-3.1-8B,25,CE+KD,43,ARC_E,0.8956228956228957
Llama-3.1-8B,25,CE+KD,43,HellaSwag,0.9455287791276639
Llama-3.1-8B,25,CE+KD,43,OpenBookQA,0.842
Llama-3.1-8B,25,CE+KD,44,PIQA,0.8710554951033732
Llama-3.1-8B,25,CE+KD,44,SocialIQA,0.7988741044012283
Llama-3.1-8B,25,CE+KD,44,WinoGrande,0.8721389108129439
Llama-3.1-8B,25,CE+KD,44,ARC_C,0.7986348122866894
Llama-3.1-8B,25,CE+KD,44,ARC_E,0.8918350168350169
Llama-3.1-8B,25,CE+KD,44,HellaSwag,0.9451304521011751
Llama-3.1-8B,25,CE+KD,44,OpenBookQA,0.862
