backbone,layer_i,layer_j,C_i_to_j,C_j_to_i,mutual_cost,asymmetry
Llama-3.1-8B,22,30,0.4523113686591387,0.8087068907916546,0.8087068907916546,0.3563955221325159
Llama-3.1-8B,22,31,0.9768820814788342,2.355213664472103,2.355213664472103,1.378331582993269
Llama-3.1-8B,23,24,0.19111504312604666,0.20970733929425478,0.20970733929425478,0.018592296168208122
Llama-3.1-8B,23,25,0.1635519564151764,0.18709048815071583,0.18709048815071583,0.023538531735539436
Llama-3.1-8B,23,26,0.17473152466118336,0.1837790748104453,0.1837790748104453,0.009047550149261951
Llama-3.1-8B,23,27,0.21327973157167435,0.21137313731014729,0.21327973157167435,0.0019065942615270615
Llama-3.1-8B,23,28,0.16336939577013254,0.2454306771978736,0.2454306771978736,0.08206128142774105
Llama-3.1-8B,23,29,0.2711760066449642,0.36702010221779346,0.36702010221779346,0.09584409557282925
Llama-3.1-8B,23,30,0.4133935272693634,0.9718241058290005,0.9718241058290005,0.5584305785596371
Llama-3.1-8B,23,31,1.004808884114027,2.86035692691803,2.86035692691803,1.8555480428040028
Llama-3.1-8B,24,25,0.16560269985347986,0.19134467840194702,0.19134467840194702,0.02574197854846716
Llama-3.1-8B,24,26,0.17052550707012415,0.17705812491476536,0.17705812491476536,0.006532617844641209
Llama-3.1-8B,24,27,0.18632308673113585,0.20985040441155434,0.20985040441155434,0.02352731768041849
Llama-3.1-8B,24,28,0.16114434134215117,0.24179102666676044,0.24179102666676044,0.08064668532460928
Llama-3.1-8B,24,29,0.2578106177970767,0.355369221419096,0.355369221419096,0.09755860362201929
Llama-3.1-8B,24,30,0.42223903723061085,0.9286560267210007,0.9286560267210007,0.5064169894903898
Llama-3.1-8B,24,31,1.0226909555494785,3.283601224422455,3.283601224422455,2.2609102688729763
Llama-3.1-8B,25,26,0.16278316546231508,0.16013692878186703,0.16278316546231508,0.0026462366804480553
Llama-3.1-8B,25,27,0.17871965002268553,0.16109109297394753,0.17871965002268553,0.017628557048738003
Llama-3.1-8B,25,28,0.17613011319190264,0.21274475287646055,0.21274475287646055,0.036614639684557915
Llama-3.1-8B,25,29,0.25102832168340683,0.3474079966545105,0.3474079966545105,0.09637967497110367
Llama-3.1-8B,25,30,0.4024750180542469,0.780980471521616,0.780980471521616,0.3785054534673691
Llama-3.1-8B,25,31,1.0517615489661694,4.0938874036073685,4.0938874036073685,3.042125854641199
Llama-3.1-8B,26,27,0.1814467730000615,0.14919170457869768,0.1814467730000615,0.03225506842136383
Llama-3.1-8B,26,28,0.14714286103844643,0.1991418218240142,0.1991418218240142,0.05199896078556776
Llama-3.1-8B,26,29,0.22850245237350464,0.32977529987692833,0.32977529987692833,0.10127284750342369
Llama-3.1-8B,26,30,0.46056205220520496,0.8167680762708187,0.8167680762708187,0.35620602406561375
Llama-3.1-8B,26,31,1.1566738560795784,5.328199774026871,5.328199774026871,4.171525917947292
Llama-3.1-8B,27,28,0.17662538960576057,0.2043708646669984,0.2043708646669984,0.027745475061237812
Llama-3.1-8B,27,29,0.25815220922231674,0.48740509897470474,0.48740509897470474,0.229252889752388
Llama-3.1-8B,27,30,0.4174219183623791,0.9502953365445137,0.9502953365445137,0.5328734181821346
Llama-3.1-8B,27,31,1.22591383010149,6.595372796058655,6.595372796058655,5.369458965957165
Llama-3.1-8B,28,29,0.2931242724880576,0.321690795943141,0.321690795943141,0.02856652345508337
Llama-3.1-8B,28,30,0.4238266106694937,0.5682034380733967,0.5682034380733967,0.144376827403903
Llama-3.1-8B,28,31,1.1137199699878693,6.798585891723633,6.798585891723633,5.6848659217357635
Llama-3.1-8B,29,30,0.6490404549986124,0.2781759090721607,0.6490404549986124,0.3708645459264517
Llama-3.1-8B,29,31,1.121477633714676,7.080093532800674,7.080093532800674,5.9586158990859985
Llama-3.1-8B,30,31,1.135941669344902,4.861567348241806,4.861567348241806,3.725625678896904
Llama-3.2-3B,0,1,6.860451757907867,8.048934429883957,8.048934429883957,1.1884826719760895
Llama-3.2-3B,0,2,0.5997753348201513,8.72587513923645,8.72587513923645,8.126099804416299
Llama-3.2-3B,0,3,0.5452476367354393,10.215970546007156,10.215970546007156,9.670722909271717
Llama-3.2-3B,0,4,0.421746538951993,10.169298887252808,10.169298887252808,9.747552348300815
Llama-3.2-3B,0,5,0.5331376995891333,11.871685922145844,11.871685922145844,11.33854822255671
Llama-3.2-3B,0,6,0.4923243187367916,10.829759418964386,10.829759418964386,10.337435100227594
Llama-3.2-3B,0,7,0.37901089154183865,11.124250411987305,11.124250411987305,10.745239520445466
Llama-3.2-3B,0,8,0.3209665138274431,10.265376687049866,10.265376687049866,9.944410173222423
Llama-3.2-3B,0,9,0.3066487582400441,11.01911586523056,11.01911586523056,10.712467106990516
Llama-3.2-3B,0,10,0.3802081160247326,10.445734977722168,10.445734977722168,10.065526861697435
Llama-3.2-3B,0,11,0.36193592473864555,10.391057193279266,10.391057193279266,10.02912126854062
Llama-3.2-3B,0,12,0.5048950910568237,10.133704781532288,10.133704781532288,9.628809690475464
Llama-3.2-3B,0,13,0.48837161995470524,10.741714775562286,10.741714775562286,10.253343155607581
Llama-3.2-3B,0,14,0.5429508555680513,10.571429073810577,10.571429073810577,10.028478218242526
Llama-3.2-3B,0,15,0.4731818474829197,10.075011551380157,10.075011551380157,9.601829703897238
Llama-3.2-3B,0,16,0.4273349568247795,9.800799906253815,9.800799906253815,9.373464949429035
Llama-3.2-3B,0,17,0.3355093952268362,10.052432715892792,10.052432715892792,9.716923320665956
Llama-3.2-3B,0,18,0.3952520415186882,10.307662308216095,10.307662308216095,9.912410266697407
Llama-3.2-3B,0,19,0.3386418968439102,9.522706925868988,9.522706925868988,9.184065029025078
Llama-3.2-3B,0,20,0.27787415869534016,10.19299989938736,10.19299989938736,9.91512574069202
Llama-3.2-3B,0,21,0.28110308200120926,11.003389656543732,11.003389656543732,10.722286574542522
Llama-3.2-3B,0,22,0.20231357123702765,10.938895165920258,10.938895165920258,10.73658159468323
Llama-3.2-3B,0,23,0.19077264051884413,10.74066036939621,10.74066036939621,10.549887728877366
Llama-3.2-3B,0,24,0.30328371189534664,11.209559500217438,11.209559500217438,10.906275788322091
Llama-3.2-3B,0,25,0.2926142243668437,12.433328568935394,12.433328568935394,12.14071434456855
Llama-3.2-3B,0,26,0.2725752731785178,14.22805666923523,14.22805666923523,13.955481396056712
Llama-3.2-3B,0,27,0.4568317364901304,15.161792635917664,15.161792635917664,14.704960899427533
Llama-3.2-3B,1,2,0.6560926083475351,7.13002336025238,7.13002336025238,6.473930751904845
Llama-3.2-3B,1,3,0.5306684002280235,7.692998558282852,7.692998558282852,7.162330158054829
Llama-3.2-3B,1,4,0.39988259226083755,7.404836922883987,7.404836922883987,7.00495433062315
Llama-3.2-3B,1,5,0.49368178471922874,8.113851636648178,8.113851636648178,7.620169851928949
