backbone,donor,target,delta_nll,kl,C_forward
Llama-3.2-3B,2,20,0.14306640625,0.15490246191620827,0.29796886816620827
Llama-3.2-3B,12,9,0.146484375,0.1525742867961526,0.2990586617961526
Llama-3.2-3B,4,20,0.14111328125,0.15859328489750624,0.29970656614750624
Llama-3.2-3B,5,21,0.14892578125,0.15108885802328587,0.30001463927328587
Llama-3.2-3B,8,20,0.142578125,0.1585463248193264,0.3011244498193264
Llama-3.2-3B,3,21,0.14697265625,0.15424807369709015,0.30122072994709015
Llama-3.2-3B,6,21,0.14404296875,0.15819102339446545,0.30223399214446545
Llama-3.2-3B,0,24,0.14208984375,0.16119386814534664,0.30328371189534664
Llama-3.2-3B,4,24,0.14013671875,0.16374246403574944,0.30387918278574944
Llama-3.2-3B,6,25,0.1728515625,0.13104817643761635,0.30389973893761635
Llama-3.2-3B,25,22,0.13037109375,0.17405559960752726,0.30442669335752726
Llama-3.2-3B,9,24,0.13623046875,0.1696479506790638,0.3058784194290638
Llama-3.2-3B,0,9,0.1435546875,0.16309407074004412,0.3066487582400441
Llama-3.2-3B,4,25,0.17529296875,0.1313919210806489,0.3066848898306489
Llama-3.2-3B,1,21,0.150390625,0.15645056031644344,0.30684118531644344
Llama-3.2-3B,8,24,0.13671875,0.1703251712024212,0.3070439212024212
Llama-3.2-3B,8,21,0.15185546875,0.15531758219003677,0.3071730509400368
Llama-3.2-3B,3,25,0.177734375,0.12975963577628136,0.30749401077628136
Llama-3.2-3B,6,24,0.14208984375,0.1659647300839424,0.3080545738339424
Llama-3.2-3B,10,24,0.1376953125,0.17061005160212517,0.30830536410212517
Llama-3.2-3B,5,24,0.142578125,0.16622227244079113,0.30880039744079113
Llama-3.2-3B,4,9,0.14697265625,0.16187535505741835,0.30884801130741835
Llama-3.2-3B,9,21,0.1494140625,0.1597153153270483,0.3091293778270483
Llama-3.2-3B,3,24,0.1435546875,0.16632233560085297,0.30987702310085297
Llama-3.2-3B,7,25,0.17724609375,0.13293061312288046,0.31017670687288046
Llama-3.2-3B,12,8,0.1416015625,0.16893225349485874,0.31053381599485874
Llama-3.2-3B,9,25,0.17626953125,0.1344747431576252,0.3107442744076252
Llama-3.2-3B,9,20,0.14892578125,0.16185952723026276,0.31078530848026276
Llama-3.2-3B,7,21,0.1533203125,0.15770584903657436,0.31102616153657436
Llama-3.2-3B,8,25,0.17822265625,0.13505673501640558,0.3132793912664056
Llama-3.2-3B,11,24,0.142578125,0.17092538438737392,0.3135035093873739
Llama-3.2-3B,7,20,0.15771484375,0.1574134211987257,0.3151282649487257
Llama-3.2-3B,1,8,0.1455078125,0.17171780113130808,0.3172256136313081
Llama-3.2-3B,7,24,0.15087890625,0.1665229517966509,0.3174018580466509
Llama-3.2-3B,2,19,0.1572265625,0.16045050881803036,0.31767707131803036
Llama-3.2-3B,14,25,0.177734375,0.14000781252980232,0.3177421875298023
Llama-3.2-3B,9,19,0.15576171875,0.16216040030121803,0.31792211905121803
Llama-3.2-3B,16,24,0.14501953125,0.17336675338447094,0.31838628463447094
Llama-3.2-3B,13,24,0.14501953125,0.17437362484633923,0.3193931560963392
Llama-3.2-3B,11,25,0.177734375,0.14184237830340862,0.3195767533034086
Llama-3.2-3B,3,11,0.15771484375,0.16209087800234556,0.31980572175234556
Llama-3.2-3B,1,11,0.15283203125,0.16702940128743649,0.3198614325374365
Llama-3.2-3B,2,11,0.1572265625,0.1631409814581275,0.3203675439581275
Llama-3.2-3B,5,11,0.146484375,0.17405504267662764,0.32053941767662764
Llama-3.2-3B,14,26,0.15771484375,0.1631148038432002,0.3208296475932002
Llama-3.2-3B,0,8,0.146484375,0.17448213882744312,0.3209665138274431
Llama-3.2-3B,12,25,0.177734375,0.14336765557527542,0.3211020305752754
Llama-3.2-3B,8,19,0.15673828125,0.1643755231052637,0.3211138043552637
Llama-3.2-3B,6,8,0.14208984375,0.1794236209243536,0.3215134646743536
Llama-3.2-3B,3,19,0.158203125,0.16453050822019577,0.32273363322019577
Llama-3.2-3B,9,8,0.1455078125,0.1781339691951871,0.3236417816951871
Llama-3.2-3B,12,20,0.1572265625,0.1667947880923748,0.3240213505923748
Llama-3.2-3B,5,8,0.150390625,0.1736388774588704,0.3240295024588704
Llama-3.2-3B,15,26,0.15673828125,0.1683360431343317,0.3250743243843317
Llama-3.2-3B,5,17,0.1513671875,0.17500018142163754,0.32636736892163754
Llama-3.2-3B,11,8,0.1474609375,0.17928563430905342,0.3267465718090534
Llama-3.2-3B,22,9,0.1533203125,0.17390690837055445,0.32722722087055445
Llama-3.2-3B,4,19,0.1591796875,0.16823622770607471,0.3274159152060747
Llama-3.2-3B,20,9,0.15625,0.17212210781872272,0.3283721078187227
Llama-3.2-3B,12,24,0.15087890625,0.17812065221369267,0.32899955846369267
